Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Hostel Gandhi,4.2,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107
Grand Cascade,3.6,Very Good,1402,3,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502
Days Hotel Chennai OMR,4.3,Excellent,392,4,Kelambakkam ,city centre,35.3 km ,"2,767",565
PP Residency,4,Very Good,421,,Chennai ,city centre,35.0 km ,"2,768",713
Highnest | Rooms & Caretaker,3.5,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633
Grand Elegant,3.9,Very Good,1064,,Poongavanapuram,,,"2,046",418
Accord Chrome,4.5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425"
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546
La Woods hotel (1Km from us consulate chennai),4,Very Good,323,,Mount road,,,"3,360",403
E Hotel,4.1,Very Good,590,4,Royapettah,,,"6,749",810
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210,3,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484
Pharos Hotels,4.3,Excellent,73,3,Nungambakkam,,,"4,650","1,100"
Al Noor Palace,4,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,"2,093",428
JS Five two By twinstar hotel,4,Very Good,68,,Raja Annamalai Puram,,,"3,794",976
HOTEL HALEZ,4.3,Excellent,490,,Sholinganallur,,,"3,800",456
Essentia Premier Hotel,4.1,Very Good,63,4,Thoraipakkam,,,"3,989",479
ILARA Hotel & Spa,4,Very Good,785,3,Navallur,,,"2,650",576
The Centrepoint OMR,3.8,Very Good,886,3,Sholinganallur,,,"3,322",723
"KLASE HOTELS, GUINDY",3.3,Good,260,3,Mount road ,Chennai Airport,8.4 km ,"2,914",768
Just Guest House,4,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811
GRAND OLIVER,3.6,Very Good,490,,Poongavanapuram,,,"1,243",302
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179,,T Nagar,,,"2,349",547
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70,5,Oragadam ,city centre,43.0 km ,"5,900",
ZAITH RESIDENCY,3.4,Good,243,,Thousand Lights,,,"2,355",635
Mount Kailash Suites,4,Very Good,422,3,Mount road ,Chennai Airport,9.2 km ,"2,516",615
The Mount City near US Consulate,3.6,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,"1,748",460
The Park Bangalore,3.9,Very Good,4187,5,Ulsoor,,,"7,567","2,254"
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4,Very Good,2201,4,Brookefield,,,"1,509",531
ITC Windsor - A Luxury Collection Hotel,4.4,Excellent,1315,5,Vasanth Nagar ,Bangalore Palace,2.4 km ,"9,900",
Lemon Tree Premier Ulsoor Lake Bangalore,4,Very Good,5089,5,Sivanchetti Gardens ,Ulsoor Lake,770 m ,"2,347",918
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4,Very Good,3290,4,Hosur road,,,"2,522","1,014"
The Chancery Pavilion,3.8,Very Good,4764,5,Ashok Nagar ,MG Road,2.4 km ,"6,580","1,540"
Radisson Blu Atria Bengaluru,4.3,Excellent,2372,5,Palace road,,,"10,200",
Lemon Tree Hotel Electronics City Bangalore,4.1,Very Good,2314,4,Electronic City,,,"2,598","1,016"
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,Excellent,2076,5,Richmond road,,,"7,700",
Grand Mercure Bangalore - An Accor Brand,4.3,Excellent,426,5,Koramangala,,,"9,700",
Holiday Inn Express Bengaluru Yeshwantpur,3.7,Very Good,1602,3,Tumkur road,,,"3,680",480
goSTOPS Bengaluru - Rooms & Dorms,4.2,Very Good,500,,Gandhi Nagar,,,"1,098",269
Holiday Inn Bengaluru Racecourse,4,Very Good,2156,5,Gandhi Nagar,,,"7,249",
Fortune Select JP Cosmos - Member ITC Hotel Group,4,Very Good,2944,5,Vasanth Nagar ,Bangalore Palace,2.9 km ,"5,999",
Hyatt Centric MG Road Bangalore,4.2,Very Good,1162,5,Ulsoor,,,"6,250",
Ibis Bengaluru City Centre - An Accor Brand,3.9,Very Good,1805,4,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,"4,299",
"The Fern Residency - Yeshwanthpur, Bengaluru",4,Very Good,1618,4,Tumkur road,,,"4,112",831
Ashraya International Hotel,3.7,Very Good,664,3,Infantry Road ,MG Road,2.3 km ,"2,792",564
Davanam Sarovar Portico Suites,4.3,Excellent,1865,4,Koramangala,,,"5,076","1,026"
"Taj M G Road, Bengaluru",4.6,Excellent,1715,5,Sivanchetti Gardens ,MG Road,2.9 km ,"9,000",
